@relation sulfurCatalyst

@attribute feature_0 numeric
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute target numeric

@data
1.0343,0.003099,339.47,313.21,355.85,386.69,399.7,359.67,331.49,319.5,315.81,0.16961,0.78697
1.074,0.00315,340.65,314.05,355.74,387.28,401.72,359.74,331.88,319.95,317.6,0.16808,0.78723
1.1318,0.003285,341.52,314.83,357.7,387.42,403.38,363.33,335.99,322.01,318.03,0.17019,0.78749
1.126,0.003243,341.28,314.41,355.76,385.9,402.21,362.79,334.76,320.91,317.38,0.16979,0.79498
1.1189,0.003328,332.08,304.61,336.61,342.66,360.79,369.06,337.22,317.23,311.82,0.16988,0.78846
1.109,0.003308,326.39,299.05,327.23,328.15,329.01,328.5,324.85,316.19,312.79,0.16699,0.79302
1.1268,0.003204,317.45,293.48,316.16,315.95,313.23,309.38,305.34,302.76,300.72,0.17209,0.79351
1.0639,0.003382,314.77,289.96,313.98,311.26,309.08,303.75,300.4,297.28,296.28,0.17307,0.78006
0.97673,0.003228,312.44,287.4,310.14,307.83,303,297.91,294.38,292.62,292.82,0.17192,0.79233
0.76384,0.00354,317.37,293.45,316.03,316.9,315.88,311.72,306.65,303.54,300.88,0.16666,0.79303
0.93038,0.002995,324.4,299.59,324.29,325.93,326.32,326.31,320.92,314.84,311.93,0.16659,0.78801
0.93184,0.00321,326.99,300.81,329.29,332.45,341.43,362.82,336.51,311.89,306.82,0.1657,0.78799
0.96291,0.003188,327.81,301.46,331.86,334.28,347.67,368.6,335.36,313,307.21,0.16563,0.78185
0.95313,0.00315,329.37,304.22,333.51,339.82,363.27,368.4,331.2,312.47,308.05,0.16822,0.78432
1.019,0.00317,332.03,306.24,335.59,342.83,367.24,368.95,332.6,314.23,310.5,0.16894,0.78221
1.0299,0.003006,334.6,308.78,340.56,352.76,385.61,363.25,331.17,316.26,311.36,0.16905,0.78956
1.0342,0.003359,337.66,310.4,349.22,375.29,407.73,361.18,331.03,316.83,313.31,0.16695,0.77755
1.0343,0.003674,338.16,313.69,359.24,413.56,414.13,363.5,331.74,319.72,316.99,0.16552,0.78162
1.0198,0.003816,340.12,316.06,371.36,440.25,414.13,363.63,334.15,321.14,318.23,0.16642,0.78864
1.0272,0.003326,327.36,299.62,330.47,331.4,336.64,342.04,334.48,318.47,312.89,0.16749,0.78633
1.0249,0.003332,312.84,287.4,310.15,307.7,302.57,297.92,295.31,292.06,292.49,0.17285,0.77553
1.0248,0.00341,314.93,290.27,312.11,310.32,307.29,303.25,299.82,297.78,295.84,0.17341,0.78628
1.0318,0.003329,317.53,291.92,315.8,314.77,310.86,307.94,303.15,299.69,299.13,0.17296,0.77403
1.0234,0.003228,317.85,294.03,317.56,316.73,313.19,310.28,306.96,303.95,302.16,0.17189,0.78458
1.0227,0.003357,318.47,294.4,317.52,317.52,315.55,312.73,308.69,304.87,303.4,0.16884,0.78155
0.95352,0.003415,318.61,294.7,317.54,318.18,315.95,313.24,308.54,305.49,303.29,0.17026,0.7788
0.86145,0.003362,317.83,293.16,317.45,316.35,313.46,309.11,305.61,302.5,300.36,0.16948,0.7844
0.84848,0.003525,316.84,292.69,316.31,316.53,314.49,311.05,307.1,303.04,300.52,0.16795,0.77141
0.85659,0.003212,316.66,292.24,314.88,314.04,311.54,307.19,302.95,300.87,299.47,0.16887,0.78402
0.84885,0.003381,316.88,290.96,314.44,313.73,309.9,305.97,302.51,298.4,298.96,0.17105,0.78193
0.8592,0.0033,316.24,290.89,313.85,312.1,309.67,303.77,299.47,296.9,297.3,0.16969,0.779
0.86131,0.003365,316.04,290.45,313.05,311.7,307.27,302.3,297.99,296.34,295.94,0.17168,0.78046
1.0482,0.003314,314.91,290.26,313.77,310.83,308.14,302.81,299.47,296.27,296.28,0.17126,0.78099
1.1784,0.003123,316.97,291.86,314.62,314.73,310.47,307.39,303.61,301.23,299.01,0.17194,0.7723
1.3149,0.00316,325.18,300.04,324.73,323.27,323.31,322.04,318.74,313.74,312.03,0.17128,0.76772
1.3215,0.003144,333.67,309.93,337.36,339.93,348.27,357.32,344.56,326.85,320.94,0.17252,0.76886
1.5036,0.00304,345.37,320.55,351.64,361.45,377.68,371.37,349.55,334.55,329.76,0.17307,0.76807
1.5209,0.003288,328.01,303.42,328.93,327.66,327.75,326.42,324,320.65,317.01,0.17309,0.77745
1.4888,0.003326,313.47,290.06,312.3,310.85,308.7,305.17,301.63,300.28,298.24,0.17367,0.78003
1.5159,0.002912,312.36,289.92,309.92,309.53,306.83,302.94,300.39,298.08,296.41,0.1761,0.77715
1.5142,0.003356,310.82,288.16,308.36,307.1,303.65,300.84,298.09,295.52,294.64,0.1768,0.77896
1.5171,0.003204,308.47,285.74,305.46,303.72,301.7,297.6,294.75,292.04,291.62,0.17516,0.77051
1.467,0.003047,309.9,289.25,307.54,305.93,303.51,301.57,298.8,296.97,294.69,0.17374,0.76953
1.4149,0.003274,320.54,297.43,319.55,318.74,317.65,316.23,313.4,310.3,308.15,0.17201,0.76498
1.3263,0.00323,325.83,303.85,327.47,327.95,328.7,328.77,325.25,321.69,318.19,0.17108,0.76278
1.3073,0.003304,329.22,304.98,331.27,332,335.29,339.28,336.03,326.63,320.99,0.17118,0.77622
1.3183,0.003216,329.26,305.01,331.41,332.37,334.83,337.27,334.55,325.11,320.74,0.1708,0.76754
1.3102,0.003329,329.59,305.63,331.27,331.96,334.04,337,334.82,325.28,321.56,0.16861,0.76629
1.3251,0.003145,329.75,304.27,330.62,332.02,332.27,334.12,329.98,322.25,318.92,0.1699,0.77288
1.3301,0.003134,328.23,304.42,330.83,330.13,333.14,332.47,328.99,322.61,319.92,0.17052,0.76984
1.3092,0.003449,328.51,305.49,331.36,332.41,335.64,339.86,337.43,326.2,322.01,0.17131,0.76987
1.3113,0.002951,329.31,304.64,330.36,329.59,331.55,331.29,328.15,321.84,318.41,0.17009,0.76804
1.3333,0.003132,328.43,304.46,330.23,330.25,331.02,331.47,328.44,321.44,318.76,0.17023,0.76245
1.1837,0.00316,327.85,303.66,330.43,331.88,334.63,336.48,332.92,323.35,317.97,0.17007,0.76618
1.1793,0.003358,327.6,302.86,327.86,330.02,331.47,332.52,329.28,321.66,318.05,0.16765,0.76245
1.1865,0.00317,325.57,299.33,324.61,325.47,324.23,322.68,319.32,314.16,311.08,0.17091,0.76125
1.1825,0.003057,322.99,298.07,322.32,322.18,319.48,317.76,314.31,310.3,308.25,0.17142,0.77078
1.1958,0.003238,321.65,295.87,320.85,319.94,318.85,315.51,311.69,307.95,307.54,0.17165,0.75858
1.192,0.003218,321.32,295.13,320.75,319.66,318.7,315.18,310.8,307.83,306.31,0.16945,0.76846
1.1746,0.003633,321.87,295.84,320.66,320.29,318.33,315.5,313.13,307.75,306.69,0.17088,0.76035
1.2002,0.003307,320.82,295.05,320.82,319.16,318.71,315.01,310.83,307.27,305.63,0.17098,0.75828
1.1814,0.003312,321.93,295.1,321.25,320.58,318.42,315.19,311.09,306.75,306.83,0.17033,0.76286
1.1906,0.003251,321.43,295.83,320.01,319.43,318.21,315.43,311.35,307.77,306.56,0.16981,0.76723
1.19,0.003438,320.78,296.04,320.71,319.6,317.78,315.43,312.4,308.82,307.16,0.17226,0.76356
1.1942,0.003132,321.93,296.42,321.31,319.6,319.06,315.69,312.11,307.87,306.19,0.17174,0.75704
1.1865,0.003344,321.01,295.78,320.44,319.95,318.17,314.75,312.19,308.42,307.55,0.1712,0.7598
1.1807,0.003164,319.84,296.04,320.66,319.12,317.52,315.47,312.26,308.83,306.74,0.17098,0.76238
1.1701,0.003119,319.56,296.05,319.23,319.73,317.31,314.09,311.49,308.74,306.6,0.17169,0.75988
1.1858,0.00341,320.56,296.56,319.12,319.47,316.69,314.08,311.26,307.53,307.89,0.16982,0.75352
1.1088,0.003214,319.52,295.02,318.2,318.22,315.17,313.85,310.59,306.94,306.46,0.1719,0.75809
1.1249,0.00306,316.34,295.22,315.47,315.65,312.43,309.77,307.56,304.61,304.36,0.17067,0.75696
1.0588,0.003187,314.4,292.43,312.24,312.34,308.65,306.68,303.91,301.7,300.79,0.17219,0.75064
1.0583,0.003445,314.07,295.21,313.74,313.92,312.55,309.43,306.45,304.71,304.35,0.17088,0.75434
1.0629,0.003162,322.3,301.49,322.27,324.62,325.29,324.19,323.61,318.85,315.61,0.16924,0.75823
1.0634,0.003346,326.58,306.9,328.61,332.42,342.55,362.1,348.23,321.64,316.29,0.16833,0.74958
1.0617,0.003199,328.95,308.44,333.73,338.04,354.58,372.66,341.31,320.24,314.92,0.16667,0.75443
1.041,0.002976,331.58,309.95,335.96,340.73,358.87,368.35,338.81,319.16,314.69,0.16997,0.75805
1.0617,0.00295,331.78,309.91,336.47,343.02,360.96,366.33,336.92,320.21,314.73,0.16996,0.75743
1.0702,0.003661,331.69,310.49,339.26,352.7,408.25,374.07,336.16,318.48,314.46,0.16675,0.75268
1.0461,0.003105,334.37,312.27,340.29,350.33,385.19,368.72,334.86,318.34,314.38,0.16799,0.75527
1.0426,0.003066,333.13,312.94,341.67,351.97,386.15,367.93,335.82,319.67,315.93,0.16972,0.75781
1.0605,0.003066,333.38,312.7,340.19,352.31,384.72,367.34,334.91,319.4,316.28,0.16948,0.75372
1.0391,0.003025,335.07,312.18,340.93,352.37,382.9,366.02,334.28,319.42,315.18,0.16942,0.74665
1.1979,0.003266,334.56,312.83,340.4,348.13,371.86,372.55,342.5,324.32,318.34,0.17045,0.74803
1.2556,0.003291,338.2,315.18,344.48,355.74,382.78,373.3,344.36,326.68,322.53,0.17089,0.75586
1.2532,0.003354,339.94,316.46,348.63,364.18,393.81,373.28,343.33,327.74,322.2,0.16984,0.75527
1.2655,0.003197,331.81,309.4,334.95,338.34,344.48,354.61,346.48,326.97,320.09,0.16854,0.75612
1.2527,0.003312,325.67,302.96,326.76,326.4,328.2,327.22,323.33,319.63,316.02,0.16923,0.7508
1.2551,0.003343,321.74,299.6,322.07,321.53,320.86,318.43,315.53,313.34,310.15,0.17016,0.75485
1.2471,0.003248,319.78,296.01,318,316.9,315.22,313.06,310.13,306.82,306.49,0.17145,0.74504
1.2588,0.003356,315.94,294.97,316.59,314.72,313.15,309.11,306.66,305.02,303.61,0.17312,0.74324
1.251,0.00323,314.83,291.9,314.14,312.81,309.96,306.53,302.77,300.52,299.23,0.17382,0.74969
1.2122,0.003357,313.77,291.1,310.87,309.32,306.7,303.76,299.39,298.11,297.76,0.17363,0.7455
1.1969,0.003319,318.28,296.92,317.3,315.65,315.77,312.35,310.69,308.7,306.95,0.17065,0.74644
1.1684,0.003024,328.6,308.09,331.01,334.27,338.46,345.51,340.56,325.63,319.9,0.16859,0.75114
1.1474,0.003443,336.7,315.69,343.62,360.65,398.66,373.85,339.81,323.77,319.52,0.16719,0.74173
1.1371,0.003044,339.01,317.49,347.44,364.1,393.13,368.42,339.51,325.58,321.15,0.16977,0.74651
1.1116,0.003374,338.47,318.27,351.75,374.93,407.05,369.07,338.81,323.79,320.29,0.16692,0.74253
1.0527,0.003479,337.6,316.3,353.19,387.26,414.42,367.93,336.02,322.76,319.47,0.1672,0.74796
1.0678,0.003008,335.77,314.67,344.58,359.67,392.42,366.61,334.83,321.78,318.25,0.16752,0.74438
1.0609,0.003305,333.97,312.71,342.96,356.95,401.8,368.9,334.68,319.42,315.42,0.16847,0.74429
1.0542,0.003244,332.48,311.32,340.09,348.25,387.03,371.35,336.28,318.74,315.21,0.16898,0.74184
1.0474,0.003307,332.02,309.89,335.87,344.21,374.94,373.14,336.28,317.82,313.97,0.16779,0.7478
