@relation friedman

@attribute attrib0 numeric
@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute target numeric

@data
90.735302,1665.530894,0.286908,10.734619,-2.949104
96.533065,661.589144,0.924927,4.957426,1.240271
84.873074,1525.595203,0.696043,6.678705,1.555287
53.404758,319.817374,0.971858,8.032357,4.976311
15.120157,430.92893,0.825296,9.51153,3.703962
16.952804,823.22885,0.35739,6.292667,10.13296
67.046679,776.040496,0.596112,2.140713,-8.154683
87.109655,1094.815199,0.780836,6.551453,-4.527245
42.402349,1161.767414,0.974997,4.514987,4.239653
68.718079,333.320464,0.08082,10.93628,-8.37349
36.631277,1613.999174,0.150367,4.329598,-7.907449
96.568189,587.383656,0.116669,6.482316,6.251368
79.491558,537.723344,0.453601,9.536081,11.12453
98.646437,1175.463336,0.813026,4.451647,4.135347
14.795327,221.635818,0.091779,8.344802,4.084335
24.657971,414.897788,0.847792,4.647559,-0.284224
57.518966,478.510229,0.870889,7.772813,-5.76169
29.712055,1332.170519,0.040719,6.425031,8.476751
94.06485,1013.643254,0.937842,2.443822,5.039916
18.271564,177.543987,0.652258,1.749256,10.017894
78.741702,298.598363,0.380134,5.528367,10.90604
28.652069,1612.976158,0.428884,8.982026,-7.825028
25.290367,1113.794309,0.612231,7.443846,11.809259
54.253102,677.432709,0.632903,3.871234,25.143351
64.362959,711.163084,0.074697,8.488895,12.014729
93.301167,1134.525371,0.901941,7.929289,4.125671
90.971378,1585.453525,0.494505,10.69529,-0.658079
10.062547,357.661785,0.307833,4.367864,8.367408
36.501877,1215.211119,0.346854,6.800847,-4.012725
89.690356,1650.807662,0.530196,8.806111,15.825485
89.484989,1453.077362,0.873063,5.051576,-13.820252
43.144036,806.189243,0.131821,4.438732,-7.311822
85.027511,1420.991908,0.425718,5.081723,3.949528
37.45673,1262.205459,0.801807,4.20886,7.956267
48.974511,614.416048,0.001492,8.50199,-5.766717
81.758542,1536.760819,0.524018,4.425833,-6.927032
67.993934,811.901645,0.700297,2.70057,6.139279
84.029123,1259.796075,0.94651,5.841407,10.364321
44.73665,1613.316918,0.934808,3.555039,9.581356
91.60692,646.386646,0.71844,10.716902,4.055194
73.337981,773.291109,0.087497,7.865296,11.290632
87.148343,251.344106,0.820338,10.343222,-19.88384
4.491841,898.537452,0.239376,5.780576,-1.388713
1.316447,754.412783,0.315404,7.987327,1.636121
1.85469,490.955506,0.521821,2.773423,9.663005
85.195591,478.48313,0.786507,1.537853,2.471418
52.553487,1587.759384,0.136657,10.31823,12.151143
59.520282,1241.047727,0.179219,2.531385,-8.198616
93.255134,172.985259,0.514732,6.520723,13.655811
61.475458,490.783977,0.207841,3.465725,-8.58595
43.985178,978.810867,0.034032,10.71615,-2.069875
76.398524,1615.43836,0.697908,6.261826,-15.675085
