@relation trump_approval

@attribute ordinal_date numeric
@attribute five_thirty_eight numeric
@attribute gallup numeric
@attribute ipsos numeric
@attribute morning_consult numeric
@attribute rasmussen numeric
@attribute you_gov numeric

@data
736389,43.75505,43.843213,46.19925,48.318749,44.104692,43.636914
736390,43.71027,43.843213,46.19925,48.318749,46.104692,41.636914
736391,43.90226,43.843213,46.437346,48.318749,47.104692,41.636914
736392,43.90226,43.843213,46.437346,48.318749,47.104692,41.636914
736393,43.93693,43.843213,46.437346,48.318749,47.104692,41.636914
736394,44.08371,44.843213,46.437346,48.318749,46.104692,41.636914
736395,44.3455,43.843213,46.920679,48.318749,45.104692,41.636914
736396,44.33974,42.843213,46.920679,48.318749,43.104692,42.636914
736397,44.25294,41.843213,46.920679,48.318749,43.104692,42.636914
736398,44.51029,42.843213,48.870679,48.318749,42.104692,42.636914
736399,44.6835,44.843213,48.870679,48.318749,42.104692,42.636914
736400,44.76669,45.843213,48.870679,48.318749,42.104692,42.636914
736401,44.53927,42.843213,48.870679,48.318749,41.104692,42.636914
736402,44.29615,39.843213,48.220679,48.318749,40.104692,42.636914
736403,43.732,40.843213,48.220679,50.318749,39.104692,41.636914
736404,43.59192,42.843213,48.220679,50.318749,41.104692,41.636914
736405,43.36182,41.843213,45.237346,50.318749,42.104692,41.636914
736406,42.70947,40.843213,45.237346,50.318749,42.104692,41.636914
736407,42.48279,37.843213,45.237346,50.318749,42.104692,41.636914
736408,42.56183,39.843213,45.237346,50.318749,43.104692,41.636914
736409,42.41769,39.843213,45.237346,50.318749,44.104692,41.636914
736410,42.34076,40.843213,44.895679,48.318749,40.104692,41.636914
736411,42.28773,39.843213,44.895679,48.318749,41.104692,41.636914
736412,42.15625,41.843213,47.304012,48.318749,38.104692,41.636914
736413,42.14841,41.843213,47.304012,48.318749,38.104692,41.636914
736414,42.08798,40.843213,47.304012,48.318749,38.104692,41.636914
736415,41.81089,36.843213,47.304012,48.318749,39.104692,41.636914
736416,41.55795,36.843213,45.795679,48.318749,39.104692,41.636914
736417,41.20364,35.843213,45.795679,43.318749,38.104692,41.636914
736418,40.63618,38.843213,45.795679,43.318749,38.104692,41.636914
736419,40.48179,38.843213,45.204012,43.318749,37.104692,41.636914
736420,40.54905,40.843213,45.204012,43.318749,37.104692,41.636914
736421,40.44848,38.843213,45.204012,43.318749,37.104692,41.636914
736422,39.84783,38.843213,45.204012,43.318749,36.104692,41.636914
736423,40.01525,39.843213,47.595679,43.318749,37.104692,41.636914
736424,40.66016,42.843213,47.595679,45.318749,40.104692,40.636914
736425,40.41075,41.843213,47.595679,45.318749,40.104692,40.636914
736426,40.38835,40.843213,45.504012,45.318749,39.104692,40.636914
736427,40.40128,40.843213,45.504012,45.318749,39.104692,40.636914
736428,40.41701,40.843213,45.504012,45.318749,39.104692,40.636914
736429,40.87731,40.843213,45.504012,45.318749,38.104692,40.636914
736430,41.51326,40.843213,46.595679,45.318749,41.104692,40.636914
736431,41.64417,41.843213,46.595679,46.318749,41.104692,40.636914
736432,41.44421,40.843213,46.595679,46.318749,42.104692,40.636914
736433,41.27088,40.843213,46.595679,46.318749,42.104692,40.636914
736434,41.23275,39.843213,46.595679,46.318749,42.104692,40.636914
736435,41.34031,41.843213,46.595679,46.318749,42.104692,40.636914
736436,41.62966,41.843213,48.237346,46.318749,44.104692,40.636914
736437,41.70159,41.843213,48.237346,46.318749,44.104692,40.636914
736438,41.92009,42.843213,45.120679,46.318749,42.104692,41.636914
736439,42.02447,43.843213,45.120679,46.318749,43.104692,41.636914
736440,41.89439,43.843213,45.120679,46.318749,43.104692,41.636914
736441,41.88213,42.843213,45.120679,46.318749,43.104692,41.636914
736442,41.63386,40.843213,45.120679,46.318749,43.104692,41.636914
736443,41.76186,40.843213,45.120679,46.318749,45.104692,41.636914
736444,41.42433,40.843213,42.570679,46.318749,41.104692,41.636914
736445,41.98724,39.843213,40.470679,49.318749,40.104692,42.636914
736446,42.1408,40.843213,40.470679,49.318749,39.104692,42.636914
736447,41.9548,43.843213,40.470679,49.318749,41.104692,42.636914
736448,41.99678,43.843213,40.470679,49.318749,41.104692,42.636914
736449,41.98776,42.843213,40.470679,49.318749,41.104692,42.636914
736450,41.87309,41.843213,41.804012,49.318749,41.104692,42.636914
736451,41.99481,42.843213,41.804012,49.318749,42.104692,42.636914
736452,42.38294,42.843213,43.345679,46.318749,43.104692,43.636914
736453,42.42966,42.843213,43.345679,46.318749,42.104692,43.636914
736454,42.33636,42.843213,43.904012,46.318749,40.104692,43.636914
736455,42.17928,40.843213,43.904012,46.318749,40.104692,43.636914
736456,42.13611,40.843213,43.904012,46.318749,40.104692,43.636914
736457,42.16862,42.843213,43.904012,46.318749,39.104692,43.636914
736458,41.93328,40.843213,43.470679,46.318749,40.104692,43.636914
736459,41.21492,40.843213,43.470679,42.318749,41.104692,41.636914
736460,41.15792,38.843213,43.470679,42.318749,42.104692,41.636914
736461,41.12946,41.843213,43.470679,43.318749,39.104692,41.636914
736462,41.08303,40.843213,43.470679,43.318749,39.104692,41.636914
736463,40.63778,39.843213,42.404012,43.318749,39.104692,41.636914
736464,40.50564,38.843213,42.404012,43.318749,38.104692,41.636914
736465,39.90671,38.843213,41.195679,43.318749,37.104692,41.636914
736466,39.6813,38.843213,41.195679,41.318749,38.104692,39.636914
736467,39.45036,38.843213,41.195679,41.318749,38.104692,39.636914
736468,38.86071,38.843213,39.070679,39.318749,38.104692,39.636914
736469,38.80148,37.843213,39.070679,39.318749,38.104692,39.636914
736470,38.83015,38.843213,39.070679,39.318749,38.104692,39.636914
736471,38.78198,37.843213,39.070679,39.318749,38.104692,39.636914
736472,39.14797,38.843213,39.070679,39.318749,40.104692,39.636914
736473,38.99393,39.843213,37.520679,44.318749,42.104692,39.636914
736474,39.05955,39.843213,37.520679,44.318749,42.104692,39.636914
736475,39.28042,41.843213,37.520679,44.318749,42.104692,39.636914
736476,39.27729,41.843213,37.520679,44.318749,40.104692,39.636914
736477,39.3673,42.843213,37.520679,44.318749,40.104692,39.636914
736478,39.3634,42.843213,37.520679,44.318749,39.104692,39.636914
736479,39.21078,41.843213,39.09925,44.318749,38.104692,39.636914
736480,39.14719,41.843213,39.09925,43.318749,37.104692,38.636914
736481,39.11364,40.843213,39.09925,43.318749,37.104692,38.636914
736482,39.10624,39.843213,39.09925,43.318749,38.104692,38.636914
736483,38.9981,37.843213,40.904012,43.318749,38.104692,38.636914
736484,38.89021,36.843213,40.904012,43.318749,38.104692,38.636914
736485,38.99826,37.843213,40.904012,43.318749,40.104692,38.636914
736486,38.60328,38.843213,38.995679,43.318749,40.104692,38.636914
736487,38.28024,38.843213,38.995679,42.318749,39.104692,38.636914
736488,38.24259,37.843213,38.995679,42.318749,40.104692,38.636914
736489,38.04195,37.843213,38.070679,42.318749,40.104692,38.636914
736490,38.12778,39.843213,38.070679,42.318749,40.104692,38.636914
736491,38.09373,38.843213,38.070679,42.318749,40.104692,38.636914
736492,38.29467,36.843213,38.070679,42.318749,40.104692,38.636914
736493,38.25534,36.843213,38.445679,42.318749,37.104692,38.636914
736494,38.3791,36.843213,38.445679,42.318749,39.104692,39.636914
736495,38.38903,38.843213,38.445679,42.318749,41.104692,39.636914
736496,38.66948,38.843213,40.370679,42.318749,44.104692,39.636914
736497,38.7223,39.843213,40.370679,42.318749,44.104692,39.636914
736498,38.73221,39.843213,40.370679,42.318749,44.104692,39.636914
736499,38.71433,38.843213,40.370679,42.318749,42.104692,39.636914
736500,38.62213,37.843213,40.370679,42.318749,41.104692,39.636914
736501,38.40358,37.843213,37.570679,42.318749,39.104692,40.636914
736502,38.74978,39.843213,37.570679,42.318749,40.104692,40.636914
736503,39.77451,42.843213,37.570679,42.318749,40.104692,40.636914
736504,39.66325,39.843213,37.570679,42.318749,40.104692,40.636914
736505,39.58413,38.843213,37.570679,42.318749,40.104692,40.636914
736506,39.46778,36.843213,39.070679,42.318749,41.104692,40.636914
736507,38.71787,39.843213,36.370679,42.318749,40.104692,40.636914
736508,39.3798,39.843213,36.370679,43.318749,40.104692,39.636914
736509,39.93516,40.843213,36.370679,43.318749,39.104692,39.636914
736510,39.60293,38.843213,36.637346,43.318749,40.104692,39.636914
736511,39.58723,38.843213,36.637346,43.318749,40.104692,39.636914
736512,39.51341,37.843213,36.637346,43.318749,40.104692,39.636914
736513,39.52999,39.843213,36.637346,43.318749,38.104692,39.636914
736514,39.41248,37.843213,36.637346,43.318749,38.104692,39.636914
736515,39.03904,37.843213,38.670679,43.318749,38.104692,38.636914
736516,39.00697,37.843213,38.670679,43.318749,38.104692,38.636914
736517,39.01347,37.843213,38.620679,43.318749,39.104692,38.636914
736518,39.03389,38.843213,38.620679,43.318749,39.104692,38.636914
736519,39.08517,39.843213,38.620679,43.318749,39.104692,38.636914
736520,39.12117,39.843213,38.620679,43.318749,39.104692,38.636914
736521,39.24297,40.843213,40.045679,43.318749,39.104692,38.636914
736522,39.29457,40.843213,40.045679,43.318749,39.104692,37.636914
736523,39.25278,40.843213,40.045679,43.318749,38.104692,37.636914
736524,39.14643,39.843213,41.004012,43.318749,37.104692,37.636914
736525,39.09839,38.843213,41.004012,43.318749,37.104692,37.636914
736526,38.60715,38.843213,41.004012,43.318749,37.104692,37.636914
736527,38.81894,39.843213,41.004012,43.318749,37.104692,37.636914
736528,38.72128,38.843213,40.470679,43.318749,37.104692,37.636914
736529,38.71251,37.843213,40.470679,43.318749,36.104692,38.636914
736530,38.6458,36.843213,40.470679,43.318749,37.104692,38.636914
736531,38.3734,37.843213,38.637346,43.318749,37.104692,38.636914
736532,38.41841,38.843213,38.637346,43.318749,37.104692,38.636914
736533,38.4932,39.843213,38.637346,43.318749,37.104692,38.636914
736534,39.05289,37.843213,38.637346,43.318749,38.104692,38.636914
736535,38.38955,36.843213,37.120679,43.318749,36.104692,38.636914
736536,38.54961,37.843213,37.120679,43.318749,36.104692,39.636914
736537,38.54928,39.843213,37.120679,43.318749,36.104692,39.636914
736538,38.35725,39.843213,36.770679,43.318749,35.104692,39.636914
736539,38.38412,39.843213,36.770679,43.318749,35.104692,39.636914
736540,38.35231,38.843213,36.770679,43.318749,35.104692,39.636914
736541,38.20862,37.843213,36.770679,41.318749,33.104692,39.636914
736542,37.76429,37.843213,37.445679,41.318749,33.104692,39.636914
736543,37.04735,36.843213,37.445679,41.318749,32.104692,37.636914
736544,37.01992,36.843213,37.445679,41.318749,33.104692,37.636914
736545,36.91279,36.843213,37.445679,41.318749,33.104692,37.636914
736546,36.95828,37.843213,37.445679,41.318749,33.104692,37.636914
736547,36.98021,38.843213,37.737346,41.318749,33.104692,37.636914
736548,36.60229,38.843213,37.737346,41.318749,35.104692,37.636914
736549,36.90808,37.843213,35.995679,41.318749,35.104692,37.636914
736550,36.86343,36.843213,35.995679,38.318749,36.104692,37.636914
736551,36.93701,36.843213,35.995679,38.318749,38.104692,37.636914
736552,37.56736,37.843213,37.737346,38.318749,39.104692,37.636914
736553,37.62228,37.843213,37.737346,38.318749,39.104692,37.636914
736554,37.57039,36.843213,37.737346,38.318749,39.104692,37.636914
736555,37.39813,34.843213,37.737346,38.318749,37.104692,37.636914
736556,37.63694,36.843213,37.695679,38.318749,36.104692,37.636914
736557,37.33916,36.843213,37.695679,38.318749,34.104692,37.136914
736558,37.85554,37.843213,37.695679,38.318749,34.104692,37.136914
736559,37.79533,38.843213,35.204012,38.318749,36.104692,37.136914
736560,37.79533,38.843213,35.204012,38.318749,36.104692,37.136914
736561,37.72692,37.343213,35.204012,38.318749,36.104692,37.136914
736562,37.05765,35.843213,35.204012,38.318749,36.104692,34.636914
736563,36.81282,35.843213,36.170679,38.318749,37.104692,34.636914
736564,36.92514,35.843213,36.170679,38.318749,35.104692,39.636914
736565,37.01527,34.843213,36.170679,38.318749,36.104692,39.636914
736566,36.91675,34.843213,36.304012,38.318749,36.104692,39.636914
736567,36.93331,35.843213,36.304012,38.318749,36.104692,39.636914
736568,36.92144,35.843213,36.304012,38.318749,36.104692,39.636914
736569,36.92813,35.843213,36.304012,38.318749,36.104692,39.636914
