Test batch - 0 with 0
Test batch - 522 with RMSE: 0.017058
Test batch - 580 with RMSE: 0.017491
Test batch - 638 with RMSE: 0.029586
Test batch - 696 with RMSE: 0.049965
Test batch - 754 with RMSE: 0.06357
Test batch - 812 with RMSE: 0.065371
Test batch - 870 with RMSE: 0.06196
Test batch - 928 with RMSE: 0.058251
Test batch - 986 with RMSE: 0.055198
Test batch - 1044 with RMSE: 0.052557
Test batch - 1102 with RMSE: 0.050453
Test batch - 1160 with RMSE: 0.048551
Test batch - 1218 with RMSE: 0.047341
Test batch - 1276 with RMSE: 0.045574
Test batch - 1334 with RMSE: 0.04398
Test batch - 1392 with RMSE: 0.042555
Test batch - 1450 with RMSE: 0.041588
Test batch - 1508 with RMSE: 0.040443
Test batch - 1566 with RMSE: 0.039385
Test batch - 1624 with RMSE: 0.038397
Test batch - 1682 with RMSE: 0.037452
Test batch - 1740 with RMSE: 0.03677
Test batch - 1798 with RMSE: 0.036103
Test batch - 1856 with RMSE: 0.035587
Test batch - 1914 with RMSE: 0.034979
Test batch - 1972 with RMSE: 0.03431
Test batch - 2030 with RMSE: 0.033671
Test batch - 2088 with RMSE: 0.033071
Test batch - 2146 with RMSE: 0.032502
Test batch - 2204 with RMSE: 0.03199
Test batch - 2262 with RMSE: 0.031514
Test batch - 2320 with RMSE: 0.031199
Test batch - 2378 with RMSE: 0.03177
Test batch - 2436 with RMSE: 0.033587
Test batch - 2494 with RMSE: 0.033157
Test batch - 2552 with RMSE: 0.032693
Test batch - 2610 with RMSE: 0.032247
Test batch - 2668 with RMSE: 0.031816
Test batch - 2726 with RMSE: 0.031401
Test batch - 2784 with RMSE: 0.031002
Test batch - 2842 with RMSE: 0.030617
Test batch - 2900 with RMSE: 0.030247
Test batch - 2958 with RMSE: 0.02989
Test batch - 3016 with RMSE: 0.029546
Test batch - 3074 with RMSE: 0.029215
Test batch - 3132 with RMSE: 0.0289
Test batch - 3190 with RMSE: 0.028593
Test batch - 3248 with RMSE: 0.028294
Test batch - 3306 with RMSE: 0.028004
Test batch - 3364 with RMSE: 0.027736
Test batch - 3422 with RMSE: 0.027539
Test batch - 3480 with RMSE: 0.027302
Test batch - 3538 with RMSE: 0.027178
Test batch - 3596 with RMSE: 0.027336
Test batch - 3654 with RMSE: 0.027587
Test batch - 3712 with RMSE: 0.027598
Test batch - 3770 with RMSE: 0.027363
Test batch - 3828 with RMSE: 0.027125
Test batch - 3886 with RMSE: 0.026894
Test batch - 3944 with RMSE: 0.026673
Test batch - 4002 with RMSE: 0.026479
Test batch - 4060 with RMSE: 0.026305
Test batch - 4118 with RMSE: 0.026116
Test batch - 4176 with RMSE: 0.025913
Test batch - 4234 with RMSE: 0.025711
Test batch - 4292 with RMSE: 0.025515
Test batch - 4350 with RMSE: 0.025323
Test batch - 4408 with RMSE: 0.025135
Test batch - 4466 with RMSE: 0.024951
Test batch - 4524 with RMSE: 0.024771
Test batch - 4582 with RMSE: 0.024595
Test batch - 4640 with RMSE: 0.024423
Test batch - 4698 with RMSE: 0.024254
Test batch - 4756 with RMSE: 0.024099
Test batch - 4814 with RMSE: 0.023946
Test batch - 4872 with RMSE: 0.023804
Test batch - 4930 with RMSE: 0.023655
Test batch - 4988 with RMSE: 0.023503
Test batch - 5046 with RMSE: 0.023356
Test batch - 5104 with RMSE: 0.023212
Test batch - 5162 with RMSE: 0.023069
Test batch - 5220 with RMSE: 0.022967
Test batch - 5278 with RMSE: 0.022843
Test batch - 5336 with RMSE: 0.022737
Test batch - 5394 with RMSE: 0.022692
Test batch - 5452 with RMSE: 0.022694
Test batch - 5510 with RMSE: 0.022576
Test batch - 5568 with RMSE: 0.022482
Test batch - 5626 with RMSE: 0.022377
Test batch - 5684 with RMSE: 0.022256
Test batch - 5742 with RMSE: 0.022142
Test batch - 5800 with RMSE: 0.02204
Test batch - 5858 with RMSE: 0.023804
