Test batch - 0 with 0
Test batch - 522 with RMSE: 0.039981
Test batch - 580 with RMSE: 0.027616
Test batch - 638 with RMSE: 0.035321
Test batch - 696 with RMSE: 0.06538
Test batch - 754 with RMSE: 0.076942
Test batch - 812 with RMSE: 0.075837
Test batch - 870 with RMSE: 0.070474
Test batch - 928 with RMSE: 0.065606
Test batch - 986 with RMSE: 0.061665
Test batch - 1044 with RMSE: 0.058531
Test batch - 1102 with RMSE: 0.0559
Test batch - 1160 with RMSE: 0.053517
Test batch - 1218 with RMSE: 0.051523
Test batch - 1276 with RMSE: 0.049677
Test batch - 1334 with RMSE: 0.047973
Test batch - 1392 with RMSE: 0.046415
Test batch - 1450 with RMSE: 0.045053
Test batch - 1508 with RMSE: 0.043832
Test batch - 1566 with RMSE: 0.042756
Test batch - 1624 with RMSE: 0.041702
Test batch - 1682 with RMSE: 0.040683
Test batch - 1740 with RMSE: 0.039782
Test batch - 1798 with RMSE: 0.039096
Test batch - 1856 with RMSE: 0.038612
Test batch - 1914 with RMSE: 0.03801
Test batch - 1972 with RMSE: 0.037364
Test batch - 2030 with RMSE: 0.036741
Test batch - 2088 with RMSE: 0.036133
Test batch - 2146 with RMSE: 0.035552
Test batch - 2204 with RMSE: 0.034968
Test batch - 2262 with RMSE: 0.034462
Test batch - 2320 with RMSE: 0.034133
Test batch - 2378 with RMSE: 0.034533
Test batch - 2436 with RMSE: 0.034436
Test batch - 2494 with RMSE: 0.034001
Test batch - 2552 with RMSE: 0.033533
Test batch - 2610 with RMSE: 0.033076
Test batch - 2668 with RMSE: 0.032635
Test batch - 2726 with RMSE: 0.03221
Test batch - 2784 with RMSE: 0.031801
Test batch - 2842 with RMSE: 0.031406
Test batch - 2900 with RMSE: 0.031026
Test batch - 2958 with RMSE: 0.03066
Test batch - 3016 with RMSE: 0.030307
Test batch - 3074 with RMSE: 0.02997
Test batch - 3132 with RMSE: 0.029654
Test batch - 3190 with RMSE: 0.029348
Test batch - 3248 with RMSE: 0.029058
Test batch - 3306 with RMSE: 0.028768
Test batch - 3364 with RMSE: 0.02851
Test batch - 3422 with RMSE: 0.028356
Test batch - 3480 with RMSE: 0.028216
Test batch - 3538 with RMSE: 0.028028
Test batch - 3596 with RMSE: 0.027938
Test batch - 3654 with RMSE: 0.027864
Test batch - 3712 with RMSE: 0.0277
Test batch - 3770 with RMSE: 0.027483
Test batch - 3828 with RMSE: 0.027246
Test batch - 3886 with RMSE: 0.027014
Test batch - 3944 with RMSE: 0.026797
Test batch - 4002 with RMSE: 0.026616
Test batch - 4060 with RMSE: 0.02643
Test batch - 4118 with RMSE: 0.026232
Test batch - 4176 with RMSE: 0.02603
Test batch - 4234 with RMSE: 0.025829
Test batch - 4292 with RMSE: 0.025631
Test batch - 4350 with RMSE: 0.025438
Test batch - 4408 with RMSE: 0.025249
Test batch - 4466 with RMSE: 0.025064
Test batch - 4524 with RMSE: 0.024884
Test batch - 4582 with RMSE: 0.024707
Test batch - 4640 with RMSE: 0.024534
Test batch - 4698 with RMSE: 0.024365
Test batch - 4756 with RMSE: 0.02421
Test batch - 4814 with RMSE: 0.024057
Test batch - 4872 with RMSE: 0.023903
Test batch - 4930 with RMSE: 0.023748
Test batch - 4988 with RMSE: 0.023597
Test batch - 5046 with RMSE: 0.023449
Test batch - 5104 with RMSE: 0.023306
Test batch - 5162 with RMSE: 0.023166
Test batch - 5220 with RMSE: 0.023048
Test batch - 5278 with RMSE: 0.022917
Test batch - 5336 with RMSE: 0.022817
Test batch - 5394 with RMSE: 0.022819
Test batch - 5452 with RMSE: 0.022892
Test batch - 5510 with RMSE: 0.02278
Test batch - 5568 with RMSE: 0.022683
Test batch - 5626 with RMSE: 0.022594
Test batch - 5684 with RMSE: 0.02247
Test batch - 5742 with RMSE: 0.022349
Test batch - 5800 with RMSE: 0.022248
Test batch - 5858 with RMSE: 0.024559
